No,Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25,Sulawesi Utara,"1,037,204.41","1,245,260.98","1,434,320.22","1,581,490.80","1,759,579.10","2,146,485.80","2,621,886.10","2,815,478.49","3,097,189.22","3,317,454.38","3,702,216.26","3,918,984.79","4,341,811.74","4,779,502.51","5,087,272.65",0
26,Sulawesi Tengah,"1,894,948.88","2,101,109.46","2,290,621.34","2,481,923.59","2,752,221.61","3,163,777.29","3,362,521.98","3,585,360.62","3,921,622.52","4,173,011.62","4,011,635.06","4,162,915.98","4,622,267.53","4,946,873.55","5,465,201.96",0
27,Sulawesi Selatan,"2,522,732.36","2,919,532.51","3,183,090.69","3,483,957.05","3,980,205.29","4,434,755.13","4,927,314.45","5,154,430.34","5,169,365.54","5,588,982.28","5,678,831.13","6,172,583.34","7,093,495.34","7,938,801.03","9,214,212.72",0
28,Sulawesi Tenggara,"1,093,209.35","1,094,564.20","994,338.58","1,079,738.20","989,079.53","1,062,338.38","1,040,380.78","1,036,145.33","1,119,182.09","1,241,035.98","1,256,316.75","1,306,380.14","1,391,784.43","1,479,636.30","1,538,115.49",0
29,Gorontalo,"447,616.69","489,891.93","534,260.61","578,937.85","682,903.07","813,603.33","881,868.15","946,789.70","976,238.54","1,092,561.79","1,089,929.94","1,130,088.45","1,259,996.33","1,400,282.48","1,373,751.24",0
30,Sulawesi Barat,"854,684.43","865,339.95","942,032.02","977,422.31","995,926.35","1,237,030.59","1,429,072.12","1,385,559.71","1,605,646.30","1,874,228.47","2,074,758.18","2,077,627.63","2,225,268.81","2,768,522.84","3,012,497.66",0
31,Maluku,"127,491.32","142,596.76","162,495.32","182,817.88","203,054.94","216,064.45","232,233.62","250,736.90","268,003.60","289,689.58","302,452.42","324,303.30","358,400.43","385,758.00","420,120.56",0
32,Maluku Utara,"184,404.14","205,445.99","240,199.30","280,573.30","316,488.05","331,577.53","379,196.06","412,593.19","446,926.45","470,426.77","505,512.72","510,885.60","548,722.57","602,099.74","662,746.10",0
33,Papua Barat,"388,407.84","353,904.88","370,550.47","393,724.21","438,209.97","490,026.03","524,546.73","556,220.15","590,590.57","641,912.09","654,618.69","717,208.58","716,826.29","388,678.29","396,608.45",0
34,Papua Barat Daya,0,0,0,0,0,0,0,0,0,0,0,0,0,"285,215.92","289,868.84",0
35,Papua,"1,065,697.12","1,136,089.18","1,203,430.60","1,281,074.71","1,338,874.29","1,467,873.68","1,638,753.80","1,816,018.38","1,929,694.35","1,974,813.16","2,063,688.41","2,156,638.08","2,207,025.20","790,058.98","830,552.65",0
36,Papua Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,"319,398.89","354,395.59",0
37,Papua Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,"598,941.68","645,074.15",0
38,Papua Pegunungan,0,0,0,0,0,0,0,0,0,0,0,0,0,"630,871.33","687,337.88",0
