No,Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25,Sulawesi Utara,"2,435,126.86","2,447,753.54","2,585,481.85","2,723,854.76","2,862,380.43","3,149,943.79","3,489,403.03","3,823,007.41","4,015,367.97","4,008,060.46","3,884,189.43","3,745,276.67","4,095,538.82","4,245,899.34","4,735,973.59",0
26,Sulawesi Tengah,"3,505,099.71","3,926,025.56","4,349,975.28","4,583,624.94","4,781,610.45","4,987,102.75","5,353,212.53","5,691,750.48","6,051,771.13","6,030,377.36","5,990,634.84","6,053,417.77","6,370,531.85","7,288,627.88","7,767,883.10",0
27,Sulawesi Selatan,"14,821,085.74","16,631,781.77","19,481,028.67","20,645,210.58","23,220,306.31","26,025,464.90","29,508,962.75","31,393,673.64","33,078,524.99","31,950,552.71","32,775,613.36","35,154,865.34","36,300,141.40","39,915,840.86","43,244,378.86",0
28,Sulawesi Tenggara,"1,342,084.08","1,490,255.12","1,761,971.90","1,918,636.76","2,280,394.42","2,429,157.96","2,412,476.43","2,379,582.17","2,493,893.72","2,540,034.65","2,568,912.59","2,616,941.46","2,597,387.56","2,721,611.81","3,001,288.43",0
29,Gorontalo,"3,143,975.52","3,519,207.42","3,948,309.31","4,466,438.65","5,127,664.84","5,511,627.63","6,187,863.58","6,965,767.37","7,912,372.20","8,587,994.55","8,513,875.12","8,985,745.44","9,168,013.30","9,517,823.55","9,947,245.29",0
30,Sulawesi Barat,"757,270.53","761,557.43","836,876.35","946,848.64","1,097,841.61","1,164,095.61","1,521,671.12","1,960,870.63","2,141,193.48","2,463,257.46","2,669,250.92","2,524,047.12","2,690,088.46","2,540,982.77","2,921,490.19",0
31,Maluku,"1,198,491.83","1,311,908.69","1,475,893.90","1,635,417.78","1,851,015.18","1,897,896.84","2,108,989.50","2,304,227.81","2,364,699.35","2,498,558.67","2,554,735.21","2,337,497.31","2,546,386.26","2,710,807.78","2,785,959.49",0
32,Maluku Utara,"346,524.10","395,608.00","456,108.54","536,067.01","569,478.09","607,139.25","677,115.09","707,125.57","769,573.90","782,870.99","799,856.44","809,777.54","830,122.08","939,851.04","1,049,396.37",0
33,Papua Barat,"194,948.23","197,441.94","184,737.47","192,034.61","199,252.92","218,709.23","198,491.84","179,517.41","189,495.53","192,945.15","197,863.53","195,817.33","195,918.16","148,643.84","149,560.49",0
34,Papua Barat Daya,0,0,0,0,0,0,0,0,0,0,0,0,0,"58,367.02","57,180.07",0
35,Papua,"2,664,902.76","2,988,959.08","3,196,689.22","3,694,572.64","3,967,238.01","4,432,671.55","4,511,289.92","4,712,038.04","5,067,622.83","5,095,001.38","5,214,015.36","5,714,377.71","5,996,302.87","1,092,260.60","1,108,132.65",0
36,Papua Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,216,081.68","1,289,931.16",0
37,Papua Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,877,119.52","1,989,164.86",0
38,Papua Pegunungan,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,336,901.08","2,417,034.57",0
